AAR,Total,COUNTRY
2010.0,774.0,Iran
2010.0,746.0,Finland
2010.0,732.0,Nepal
2010.0,721.0,Nederlandene
2011.0,4142.0,Tyrkiet
2011.0,4082.0,Sverige
2011.0,4044.0,Storbritannien
2011.0,3763.0,Pakistan
2011.0,3691.0,Norge
2011.0,3342.0,Tyskland
2011.0,3049.0,Polen
2011.0,2925.0,Irak
2011.0,2497.0,Kina
2011.0,2289.0,USA
2011.0,2203.0,Jugoslavien
2011.0,2086.0,Somalia
2011.0,2080.0,Island
2011.0,2053.0,Frankrig
2011.0,1913.0,Italien
2011.0,1795.0,Indien
2011.0,1533.0,Thailand
2011.0,1511.0,Marokko
2011.0,1413.0,Spanien
2011.0,1349.0,Filippinerne
2011.0,1177.0,Makedonien
2011.0,906.0,Nepal
2011.0,848.0,Litauen
2011.0,820.0,Iran
2011.0,812.0,Rumænien
2012.0,4230.0,Sverige
2012.0,4097.0,Storbritannien
2012.0,4001.0,Tyrkiet
2012.0,3908.0,Pakistan
2012.0,3833.0,Norge
2012.0,3416.0,Tyskland
2012.0,3176.0,Polen
2012.0,2791.0,Irak
2012.0,2687.0,USA
2012.0,2306.0,Kina
2012.0,2119.0,Jugoslavien
2012.0,2075.0,Somalia
2012.0,2015.0,Island
2012.0,1984.0,Italien
2012.0,1979.0,Frankrig
2012.0,1807.0,Indien
2012.0,1551.0,Thailand
2012.0,1505.0,Marokko
2012.0,1397.0,Spanien
2012.0,1346.0,Filippinerne
2012.0,1213.0,Makedonien
2012.0,1008.0,Rumænien
2012.0,997.0,Nepal
2012.0,944.0,Litauen
2012.0,882.0,Bulgarien
2013.0,4310.0,Sverige
2013.0,4217.0,Storbritannien
2013.0,3976.0,Pakistan
2013.0,3913.0,Tyrkiet
2013.0,3896.0,Norge
2013.0,3632.0,Tyskland
2013.0,3325.0,Polen
2013.0,2776.0,Irak
2013.0,2379.0,Kina
2013.0,2356.0,USA
2013.0,2321.0,Italien
2013.0,2092.0,Somalia
2013.0,2020.0,Frankrig
2013.0,1993.0,Island
2013.0,1932.0,Jugoslavien
2013.0,1756.0,Indien
2013.0,1589.0,Spanien
2013.0,1546.0,Thailand
2013.0,1478.0,Marokko
2013.0,1393.0,Filippinerne
2013.0,1302.0,Rumænien
2013.0,1260.0,Makedonien
2013.0,1164.0,Nepal
2013.0,1099.0,Litauen
2013.0,1078.0,Bulgarien
2014.0,4524.0,Sverige
2014.0,4342.0,Storbritannien
2014.0,4277.0,Pakistan
2014.0,3969.0,Norge
2014.0,3880.0,Tyskland
2014.0,3866.0,Tyrkiet
2014.0,3539.0,Polen
2014.0,3044.0,USA
2014.0,2746.0,Irak
2014.0,2621.0,Italien
2014.0,2447.0,Kina
2014.0,2128.0,Somalia
2014.0,2124.0,Frankrig
2014.0,1982.0,Indien
2014.0,1934.0,Island
2014.0,1824.0,Spanien
2014.0,1637.0,Jugoslavien
2014.0,1563.0,Rumænien
2014.0,1547.0,Thailand
2014.0,1502.0,Marokko
2014.0,1441.0,Makedonien
2014.0,1397.0,Filippinerne
2014.0,1370.0,Nepal
2014.0,1276.0,Litauen
2014.0,1219.0,Bulgarien
2015.0,4745.0,Sverige
2015.0,4523.0,Storbritannien
2015.0,4502.0,Pakistan
2015.0,4093.0,Norge
2015.0,4021.0,Tyskland
2015.0,3906.0,Polen
2015.0,3792.0,Tyrkiet
2015.0,3069.0,Italien
2015.0,2552.0,Kina
2015.0,2544.0,Irak
2015.0,2534.0,USA
2015.0,2168.0,Indien
2015.0,2156.0,Frankrig
2015.0,2087.0,Somalia
2015.0,1999.0,Spanien
2015.0,1968.0,Island
2015.0,1891.0,Rumænien
2015.0,1692.0,Nepal
2015.0,1544.0,Thailand
2015.0,1518.0,Makedonien
2015.0,1499.0,Marokko
2015.0,1487.0,Jugoslavien
2015.0,1413.0,Bulgarien
2015.0,1396.0,Filippinerne
2015.0,1348.0,Litauen
