AAR,STATKODE,BYDEL,Total,Percentage,COUNTRY,DISTRICT
2003.0,5100.0,7.0,35156.0,0.879493658219,Danmark,Brønshøj-Husum
2003.0,5100.0,8.0,38994.0,0.866976454632,Danmark,Bispebjerg
2003.0,5100.0,9.0,43617.0,0.899764832082,Danmark,Amager Øst
2003.0,5100.0,10.0,40837.0,0.895096771365,Danmark,Amager Vest
2003.0,5100.0,99.0,2042.0,0.695504087193,Danmark,Udenfor inddeling
2004.0,0.0,0.0,56621.0,0.112866380685,Foreign Nations,All Districts
2004.0,0.0,1.0,4321.0,0.0968421524463,Foreign Nations,Indre By
2004.0,0.0,2.0,5497.0,0.0814177380177,Foreign Nations,Østerbro
2004.0,0.0,3.0,11103.0,0.151098228138,Foreign Nations,Nørrebro
2004.0,0.0,4.0,7036.0,0.13831606676,Foreign Nations,Vesterbro/Kgs. Enghave
2004.0,0.0,5.0,4484.0,0.0971382769004,Foreign Nations,Valby
2004.0,0.0,6.0,2270.0,0.062726242781,Foreign Nations,Vanløse
2004.0,0.0,7.0,4937.0,0.123323258312,Foreign Nations,Brønshøj-Husum
2004.0,0.0,8.0,6080.0,0.134730870654,Foreign Nations,Bispebjerg
2004.0,0.0,9.0,4950.0,0.101699093954,Foreign Nations,Amager Øst
2004.0,0.0,10.0,4904.0,0.107036843024,Foreign Nations,Amager Vest
2004.0,0.0,99.0,1039.0,0.326832337213,Foreign Nations,Udenfor inddeling
2004.0,5100.0,0.0,445043.0,0.887133619315,Danmark,All Districts
2004.0,5100.0,1.0,40298.0,0.903157847554,Danmark,Indre By
2004.0,5100.0,2.0,62019.0,0.918582261982,Danmark,Østerbro
2004.0,5100.0,3.0,62379.0,0.848901771862,Danmark,Nørrebro
2004.0,5100.0,4.0,43833.0,0.86168393324,Danmark,Vesterbro/Kgs. Enghave
2004.0,5100.0,5.0,41677.0,0.9028617231,Danmark,Valby
2004.0,5100.0,6.0,33919.0,0.937273757219,Danmark,Vanløse
2004.0,5100.0,7.0,35096.0,0.876676741688,Danmark,Brønshøj-Husum
2004.0,5100.0,8.0,39047.0,0.865269129346,Danmark,Bispebjerg
2004.0,5100.0,9.0,43723.0,0.898300906046,Danmark,Amager Øst
2004.0,5100.0,10.0,40912.0,0.892963156976,Danmark,Amager Vest
2004.0,5100.0,99.0,2140.0,0.673167662787,Danmark,Udenfor inddeling
2005.0,0.0,0.0,56394.0,0.11225769465,Foreign Nations,All Districts
2005.0,0.0,1.0,4506.0,0.100663494404,Foreign Nations,Indre By
2005.0,0.0,2.0,5534.0,0.0817780142158,Foreign Nations,Østerbro
2005.0,0.0,3.0,10674.0,0.146085099977,Foreign Nations,Nørrebro
2005.0,0.0,4.0,6846.0,0.135181565073,Foreign Nations,Vesterbro/Kgs. Enghave
2005.0,0.0,5.0,4448.0,0.0965235883859,Foreign Nations,Valby
2005.0,0.0,6.0,2269.0,0.0625482412614,Foreign Nations,Vanløse
2005.0,0.0,7.0,4885.0,0.122544715651,Foreign Nations,Brønshøj-Husum
2005.0,0.0,8.0,6069.0,0.134719971586,Foreign Nations,Bispebjerg
2005.0,0.0,9.0,4919.0,0.100906703865,Foreign Nations,Amager Øst
2005.0,0.0,10.0,4985.0,0.106958182247,Foreign Nations,Amager Vest
2005.0,0.0,99.0,1259.0,0.350403562483,Foreign Nations,Udenfor inddeling
2005.0,5100.0,0.0,445968.0,0.88774230535,Danmark,All Districts
2005.0,5100.0,1.0,40257.0,0.899336505596,Danmark,Indre By
2005.0,5100.0,2.0,62137.0,0.918221985784,Danmark,Østerbro
2005.0,5100.0,3.0,62393.0,0.853914900023,Danmark,Nørrebro
2005.0,5100.0,4.0,43797.0,0.864818434927,Danmark,Vesterbro/Kgs. Enghave
2005.0,5100.0,5.0,41634.0,0.903476411614,Danmark,Valby
2005.0,5100.0,6.0,34007.0,0.937451758739,Danmark,Vanløse
2005.0,5100.0,7.0,34978.0,0.877455284349,Danmark,Brønshøj-Husum
2005.0,5100.0,8.0,38980.0,0.865280028414,Danmark,Bispebjerg
2005.0,5100.0,9.0,43829.0,0.899093296135,Danmark,Amager Øst
2005.0,5100.0,10.0,41622.0,0.893041817753,Danmark,Amager Vest
2005.0,5100.0,99.0,2334.0,0.649596437517,Danmark,Udenfor inddeling
2006.0,0.0,0.0,56526.0,0.112790776561,Foreign Nations,All Districts
2006.0,0.0,1.0,4701.0,0.105101949562,Foreign Nations,Indre By
2006.0,0.0,2.0,5641.0,0.0837552523348,Foreign Nations,Østerbro
2006.0,0.0,3.0,10466.0,0.145768046909,Foreign Nations,Nørrebro
2006.0,0.0,4.0,6698.0,0.133153092261,Foreign Nations,Vesterbro/Kgs. Enghave
2006.0,0.0,5.0,4426.0,0.0970656607746,Foreign Nations,Valby
2006.0,0.0,6.0,2284.0,0.0632021694615,Foreign Nations,Vanløse
2006.0,0.0,7.0,4872.0,0.122909256036,Foreign Nations,Brønshøj-Husum
2006.0,0.0,8.0,6027.0,0.134019701585,Foreign Nations,Bispebjerg
2006.0,0.0,9.0,4874.0,0.100430652573,Foreign Nations,Amager Øst
